AKVAKULTURTILLATELSER PR. 13.04.2020;;;;;;;;;;;;;(Enhet i stk. oppgis i 1000) ;;;;;;;;(Enhet i stk. oppgis i 1000) ;;;
TILL_NR;ORG.NR/PERS.NR;NAVN;ADRESSE;POSTNR;POSTSTED;TILDELINGSTIDSPUNKT;TIDSBEGRENSET;TILL_KOMNR;TILL_KOM;FORMÅL;PRODUKSJONSFORM;ART;TILL_KAP;TILL_ENHET;LOK_NR;LOK_NAVN;LOK_KOMNR;LOK_KOM;LOK_PLASS;VANNMILJØ;LOK_KAP;LOK_ENHET;N_GEOWGS84;Ø_GEOWGS84
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Gapeflyndre;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Rødspette;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Trepigget stingsild;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Piggvar;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Blåstål;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0003;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;SETTEFISK;Kveite;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Grønngylt;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Blåstål;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Brungylt;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Berggylt;3,70;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Smørflyndre;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Bergnebb;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Gapeflyndre;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Tunge;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Kveite;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Skrubbe;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Rødspette;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Trepigget stingsild;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Torsk;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
A F 0004;855869942;NORSK INSTITUTT FOR VANNFORSKNING;GAUSTADALLÉEN 21;0349;OSLO;01-06-2017;;3022;FROGN;Kommersiell;STAMFISK;Gressgylt;0,00;TN;10173;SOLBERGSTRAND;3022;FROGN;LAND;FERSKVANN/SALTVANN;7,50;TN;59.615783;10.652650
